co_acting,movies,number_of_movies
"[Judi Dench,Daniel Craig]","[[Casino Royale,2006],[Quantum of Solace,2008],[Skyfall,2012]]",3
"[Roger Moore,Maud Adams]","[[The Man with the Golden Gun,1974],[Octopussy,1983]]",2
"[Roger Moore,Richard Kiel]","[[The Spy Who Loved Me,1977],[Moonraker,1979]]",2
