ne.text,ne.f
Bond,29
James Bond,21
Blofeld,18
British,16
Goldfinger,12
Le Chiffre,12
Soviet,11
KGB,9
SPECTRE,8
American,8
Sanchez,7
Drax,6
Chinese,6
Elektra,6
Kananga,5
Largo,5
Renard,5
Russian,5
Felix Leiter,5
Lynd,4
Trevelyan,4
Scaramanga,4
Gonzales,4
Stromberg,4
Zorin,4
