offering,start_date,end_date,registrations_per_day,total_registration,surveys_per_day,total_surveys
118907,"""2019-04-05""","""2019-04-05""","[[2019-02-15,1],[2019-03-01,1],[2019-03-22,22],[2019-04-11,1]]",25,"[[2019-04-05,2]]",2
119141,"""2019-04-05""","""2019-04-05""","[[2019-02-28,5],[2019-03-05,1],[2019-03-06,2],[2019-03-07,1],[2019-03-20,1],[2019-03-26,4],[2019-04-03,1],[2019-04-04,1],[2019-04-08,1]]",17,"[[2019-04-05,8]]",8
